,batch_size,neurons,dropout,filter_size,kernel_size,stride,test_loss,test_accuracy,val_loss,val_accuracy,precision,recall,f1_score
0,650,250,0.2,128,4,4,0.2127089649438858,0.9135894179344177,0.3278219997882843,0.8677752614021301,0.9172787090824697,0.9055543357407548,0.9112203215519945
1,150,250,0.4,128,8,6,0.18577419221401215,0.9245295524597168,0.2599306106567383,0.9039283394813538,0.9252043754915076,0.921219583120659,0.9231553398466179
2,650,500,0.4,128,8,4,0.18535098433494568,0.9260443449020386,0.3755663335323334,0.8589558005332947,0.9256020802765744,0.9245397627757299,0.9249925672679803
3,650,2500,0.2,32,4,4,0.22203722596168518,0.9102904796600342,0.3292868435382843,0.8716127276420593,0.9062376876663345,0.9215930313058497,0.9121800442262092
4,50,500,0.4,32,4,6,0.21644943952560425,0.9140269756317139,0.3566376864910126,0.845356285572052,0.9143742188267909,0.9128088961023185,0.9134469868377288
5,150,1750,0.2,32,4,4,0.1983427256345749,0.9201534986495972,0.29405415058135986,0.8838993906974792,0.9195088093594229,0.9174072424170222,0.9184275442053753
6,300,1750,0.2,64,8,4,0.18167853355407715,0.9262126684188843,0.2695552408695221,0.8980374932289124,0.9234961465588691,0.9284539447766372,0.9257315372639662
7,50,1000,0.4,64,4,4,0.2055230587720871,0.9173932075500488,0.2656586766242981,0.8973642587661743,0.9154785609640897,0.921420015592323,0.9178906285837148
8,50,2500,0.2,32,6,6,0.19873036444187164,0.9185713529586792,0.24510906636714935,0.905342161655426,0.915601895286279,0.9236152087059173,0.9188932111808038
9,50,2500,0.4,32,8,4,0.1857278048992157,0.9242939352989197,0.22943636775016785,0.9120409488677979,0.921982647249168,0.9263322077623869,0.9238269889456351
10,650,500,0.2,128,6,6,0.18685512244701385,0.9217356443405151,0.3326127231121063,0.8735988140106201,0.9236522763882645,0.9151554640740741,0.9193008967729973
11,50,1000,0.2,128,8,6,0.18592007458209991,0.9247315526008606,0.22396881878376007,0.9099538922309875,0.9266223943610404,0.9188432334625128,0.9226581063713907
12,650,2500,0.2,128,8,4,0.18116255104541779,0.9274581670761108,0.3127625584602356,0.8663278222084045,0.9261394901019994,0.9256390176338368,0.9258724042708467
13,150,250,0.4,32,6,4,0.19454926252365112,0.9225435256958008,0.2961454391479492,0.8820480108261108,0.9263379926854696,0.9143116363726854,0.9201353575037491
14,300,1750,0.2,128,4,6,0.19597069919109344,0.9209613800048828,0.3409242331981659,0.853906512260437,0.9185111227077661,0.9217464380592767,0.9199666744507414
15,150,1750,0.2,32,6,4,0.18323615193367004,0.9273908734321594,0.27405503392219543,0.8818796873092651,0.9270991049018203,0.9238245604360502,0.9254337467469412
16,300,2500,0.2,32,4,6,0.1986624002456665,0.9209950566291809,0.32568320631980896,0.8778738975524902,0.9194063002205625,0.9206543435047473,0.9199157557402723
17,300,1750,0.2,64,6,6,0.18594017624855042,0.9246978759765625,0.3467821776866913,0.8605042695999146,0.9244335194075782,0.921428059232105,0.922905436265033
18,150,250,0.4,128,6,4,0.19753004610538483,0.9199514985084534,0.28024256229400635,0.8896893262863159,0.9192600149584272,0.919578397811351,0.9192620520826464
19,650,2500,0.2,64,4,4,0.20550034940242767,0.9167536497116089,0.3165104389190674,0.8735988140106201,0.9265363422910265,0.9003423695479148,0.9118401103546446
20,300,1750,0.4,32,6,6,0.18586835265159607,0.924798846244812,0.31707963347435,0.8794896602630615,0.9256132690066495,0.9208407177727694,0.9231912128926888
21,650,250,0.4,64,6,4,0.2409885674715042,0.904029369354248,0.581390380859375,0.6579594016075134,0.9015174117433175,0.9158194413909654,0.9068765518603278
22,300,500,0.2,32,8,4,0.18459556996822357,0.9249671697616577,0.4066355228424072,0.8252600431442261,0.9249625555506853,0.9218784281966431,0.9233857980012014
23,50,2500,0.2,32,4,4,0.1988731026649475,0.9180664420127869,0.26453888416290283,0.8932574987411499,0.9202015248425507,0.9120201569203372,0.9160284124816283
24,300,1000,0.4,64,6,6,0.18500909209251404,0.9248998761177063,0.3096572160720825,0.8833271861076355,0.9259214117914109,0.9208693342932448,0.9233538241191391
25,50,250,0.4,32,8,4,0.19647414982318878,0.9214326739311218,0.25902700424194336,0.89817214012146,0.9238037292328851,0.9155694530605416,0.9196054511630871
26,150,2500,0.2,64,8,6,0.17930954694747925,0.927693784236908,0.26809021830558777,0.8907328248023987,0.9292208235285129,0.9218128043782764,0.9254441770800254
27,650,500,0.2,64,6,4,0.20045608282089233,0.9201871752738953,0.410543292760849,0.8358972668647766,0.9186055722612235,0.9217279868647114,0.9198874245730867
28,150,2500,0.2,64,4,4,0.1953148990869522,0.9204227924346924,0.27257460355758667,0.8875349164009094,0.9194498543144771,0.9183435369220101,0.918854651431992
29,300,2500,0.2,32,4,6,0.20089511573314667,0.9203218221664429,0.29040077328681946,0.87514728307724,0.9189988978052342,0.9185193642886335,0.9187048638981348
30,50,250,0.4,32,6,6,0.21141557395458221,0.9162823557853699,0.2559637725353241,0.8988117575645447,0.9178981497542732,0.9123549943305097,0.9150572601722643
31,50,250,0.2,128,6,6,0.19884388148784637,0.9197495579719543,0.2538467347621918,0.9048372507095337,0.9202643889331159,0.9172245710143866,0.9186701140699243
32,650,500,0.2,32,6,4,0.19253163039684296,0.9224761724472046,0.5018959641456604,0.7562527060508728,0.924390842204887,0.9165149911262175,0.92037901899175
33,650,250,0.4,32,8,6,0.1926652044057846,0.9225435256958008,0.33523789048194885,0.870636522769928,0.9281186660955769,0.9120073357362314,0.9196436616292968
34,50,250,0.2,32,8,6,0.20255011320114136,0.920086145401001,0.2441229671239853,0.9045006036758423,0.9221014736101227,0.9148755432667736,0.9184228364775161
35,650,2500,0.2,64,6,6,0.21262940764427185,0.9091460108757019,0.3822615444660187,0.8360319137573242,0.9263989300276197,0.884671955489249,0.9011507775757112
36,50,1000,0.2,128,4,4,0.19785158336162567,0.9185713529586792,0.2558673322200775,0.895748496055603,0.9199335833247134,0.9136674295018095,0.9167531820625783
37,300,1750,0.4,64,6,6,0.1842688024044037,0.9246641993522644,0.30707868933677673,0.8679099082946777,0.9250846382452353,0.9204578779495071,0.9227453841498479
38,650,250,0.2,64,8,4,0.18645519018173218,0.9264482855796814,0.33388760685920715,0.870468258857727,0.9287999836753814,0.9200721249212774,0.9243464571524652
39,150,1000,0.4,128,4,6,0.19960857927799225,0.9188407063484192,0.28225141763687134,0.8836637735366821,0.9162861087864339,0.923011608261378,0.9190712815653646
40,50,2500,0.2,32,4,4,0.2053680270910263,0.9163497090339661,0.27457690238952637,0.8930554986000061,0.915664770656328,0.9165857445247158,0.9159663087429681
41,650,500,0.4,32,6,4,0.1993890255689621,0.9179991483688354,0.3832705318927765,0.8578112721443176,0.931085182334618,0.898392381687974,0.9124454778206834
42,50,2500,0.4,32,8,4,0.18294432759284973,0.9274918437004089,0.23285149037837982,0.9092469811439514,0.9293943434289798,0.9214921297633701,0.9253694556502388
43,650,250,0.2,128,4,4,0.21361009776592255,0.9129161238670349,0.31792744994163513,0.8629615902900696,0.912146748180792,0.9130986135928677,0.9124735258533408
44,300,500,0.2,32,4,6,0.1969108134508133,0.9197495579719543,0.3188127279281616,0.8655199408531189,0.9231222488644976,0.9113085167690412,0.9169974157888823
45,300,250,0.4,64,8,4,0.18608412146568298,0.9265493154525757,0.2821345925331116,0.8817787170410156,0.9255903165641578,0.9261111231560274,0.9256869409498257
46,300,1000,0.4,32,4,4,0.19688597321510315,0.9201198220252991,0.3320847153663635,0.8549163341522217,0.9204487674587867,0.9165947164754176,0.918488359395072
47,650,250,0.2,64,8,4,0.18422269821166992,0.926852285861969,0.3198579251766205,0.859932005405426,0.9323093140127362,0.9162587763355825,0.9238670933510064
48,150,2500,0.4,64,6,6,0.18307740986347198,0.9259433746337891,0.2670377194881439,0.8993839621543884,0.9269275051666614,0.9212526594289371,0.9240472606428515
49,150,250,0.2,64,6,6,0.19467602670192719,0.9196485877037048,0.29276201128959656,0.889251708984375,0.9317054147084861,0.9013961992932407,0.91454911315489
50,300,250,0.4,128,8,4,0.1842377632856369,0.9258760809898376,0.29412907361984253,0.8770996928215027,0.9271412410090555,0.9215786413996079,0.9243131023588281
51,650,1750,0.4,128,4,6,0.19432251155376434,0.9215336441993713,0.35299569368362427,0.8588885068893433,0.9245414318745517,0.9132127761814628,0.9186436721222372
52,650,1000,0.2,128,8,6,0.17961187660694122,0.9265493154525757,0.28365254402160645,0.8901942372322083,0.9299775210374882,0.9175651243932862,0.92347167848022
53,650,1750,0.4,128,8,4,0.1773858219385147,0.9282324314117432,0.29664531350135803,0.8737334609031677,0.9323976424703373,0.9193361066173479,0.925567765049109
54,50,250,0.2,128,4,4,0.21148961782455444,0.9136567115783691,0.2793503999710083,0.8904635310173035,0.9228611818775887,0.8979860560961873,0.9091430770724428
55,50,1000,0.2,32,6,4,0.19267141819000244,0.9213653206825256,0.2668687701225281,0.8935940861701965,0.921492844783922,0.9184259715177534,0.919906900690521
56,650,1750,0.2,64,6,4,0.18626315891742706,0.9232504367828369,0.33111506700515747,0.8654525876045227,0.9264188677679964,0.9147319817390963,0.920337430770783
57,150,2500,0.2,128,6,6,0.1832684427499771,0.9255731105804443,0.2555033266544342,0.8908001184463501,0.9275303270880911,0.918618946579663,0.9229498341269767
58,150,500,0.4,128,6,6,0.18802852928638458,0.9246978759765625,0.26087403297424316,0.898845374584198,0.9259462460859448,0.9198041700126035,0.9228310178531783
59,150,1750,0.2,128,8,6,0.18081454932689667,0.9269195795059204,0.24461770057678223,0.9043323397636414,0.9281560237352732,0.9213290940411717,0.924684418997764
60,50,2500,0.2,128,6,6,0.1892147660255432,0.9227117896080017,0.2411518543958664,0.9028511643409729,0.9222516607468975,0.9204188770267998,0.9212881354620969
61,150,2500,0.2,64,4,4,0.1952531486749649,0.9213316440582275,0.28098252415657043,0.8862221240997314,0.9217070297366122,0.917717731055674,0.919683647271936
62,300,500,0.2,64,8,4,0.18067540228366852,0.928165078163147,0.2916325032711029,0.8766620755195618,0.9278303147815308,0.9264829141586074,0.9270784829311128
63,300,500,0.2,32,6,4,0.19053412973880768,0.9232504367828369,0.39130154252052307,0.8058706521987915,0.9218021068673883,0.9231218259142814,0.9223344658614568
64,650,1000,0.2,128,6,4,0.18583856523036957,0.9246978759765625,0.32302871346473694,0.8593597412109375,0.929290721798753,0.9136832966918002,0.9209239748839968
65,300,250,0.4,64,4,4,0.20380400121212006,0.9182010889053345,0.32195135951042175,0.8631635904312134,0.9218996401746509,0.9102751419042528,0.9159071186916056
66,300,1750,0.2,64,6,6,0.18292443454265594,0.9254721403121948,0.3026379346847534,0.8711751699447632,0.927482782110475,0.9193455281122372,0.9233264857177756
67,650,2500,0.4,128,6,4,0.1911666989326477,0.9202544689178467,0.36217713356018066,0.8407109379768372,0.9181076921654828,0.9192679439276903,0.9186539032098722
68,300,1750,0.2,128,6,4,0.18995901942253113,0.9235870242118835,0.28717637062072754,0.8783451914787292,0.919753003430726,0.9275682519657801,0.9232026630782278
69,150,1000,0.2,128,4,4,0.19808952510356903,0.9202544689178467,0.2884260416030884,0.8780422210693359,0.9193339054683968,0.9191905309730787,0.9191664687473938
70,300,250,0.4,128,4,4,0.20180384814739227,0.9197832345962524,0.35107383131980896,0.8462315201759338,0.9241273805908667,0.9110279916359033,0.9173347766302337
71,50,500,0.2,32,8,6,0.20542295277118683,0.9180327653884888,0.2709994912147522,0.8994176387786865,0.916676667134623,0.9202030999347732,0.9180604269765361
72,150,2500,0.2,32,8,4,0.18025924265384674,0.9267512559890747,0.23555612564086914,0.9045679569244385,0.926554966415317,0.9234555429746859,0.9249850545975038
73,300,1000,0.4,128,6,4,0.2018938660621643,0.9178645014762878,0.2966158986091614,0.8879388570785522,0.9133939740280265,0.9282581874427436,0.9193735054278466
74,50,1750,0.4,64,4,6,0.195886492729187,0.92055743932724,0.2634170651435852,0.8895546793937683,0.9229361339746197,0.9137139682600925,0.9182219647579584
75,150,2500,0.4,32,8,6,0.18200480937957764,0.9257077574729919,0.23719599843025208,0.9029521942138672,0.9249662982258297,0.9240038616891505,0.924408048467154
76,150,1000,0.4,64,6,6,0.1858334094285965,0.9240919351577759,0.29496341943740845,0.8862221240997314,0.9301792729340516,0.9124719163556736,0.9207203333500852
77,150,250,0.4,32,6,6,0.20443055033683777,0.9189753532409668,0.34298473596572876,0.8472750782966614,0.9190118324520183,0.9179628186263077,0.9183348564031509
78,300,500,0.4,128,8,6,0.18112096190452576,0.9278284311294556,0.2727905809879303,0.8937624096870422,0.9306812403157919,0.9209349797752071,0.9256932346042576
79,650,2500,0.4,128,4,4,0.20033644139766693,0.9199514985084534,0.35749292373657227,0.860403299331665,0.9179023323417393,0.9227993037254404,0.91995136635858
80,650,500,0.4,128,8,6,0.1831231713294983,0.9260780215263367,0.3181096613407135,0.877133309841156,0.9288156771122865,0.9187907776487497,0.9236685910570722
81,150,500,0.2,64,4,4,0.19923608005046844,0.919884204864502,0.2980285584926605,0.8796916604042053,0.9229284124671554,0.911953297412822,0.9172686781289562
82,50,2500,0.2,32,6,6,0.19287583231925964,0.9212643504142761,0.24349121749401093,0.9030531644821167,0.9207486453915692,0.9188361168032632,0.9197408548248095
83,50,1750,0.2,128,8,4,0.18980319797992706,0.9237890243530273,0.2312723696231842,0.9094153046607971,0.92074854948432,0.9272891327384746,0.923561585772045
84,650,1750,0.2,64,8,4,0.18082153797149658,0.92638099193573,0.32316920161247253,0.8601676225662231,0.9321136170715246,0.9148022407772598,0.9227528727615675
85,300,1000,0.4,32,8,6,0.18507592380046844,0.9247652292251587,0.2764151096343994,0.8958157896995544,0.9278196636316611,0.9169664420115057,0.9222327503890889
86,150,2500,0.2,128,4,6,0.18900422751903534,0.9224088788032532,0.28201818466186523,0.876460075378418,0.9260324855146157,0.9138743011228773,0.9197028494200662
87,50,2500,0.2,32,8,4,0.18351410329341888,0.9251354932785034,0.23130935430526733,0.9033224582672119,0.9247176160243898,0.9220961119419666,0.9233891874256367
88,650,250,0.2,128,6,4,0.19262005388736725,0.9208940863609314,0.32870757579803467,0.8567340970039368,0.9270139181319808,0.9085861730996084,0.9170899138097638
89,650,500,0.4,64,8,6,0.18433566391468048,0.9244285821914673,0.30967068672180176,0.8647793531417847,0.9301701760855646,0.9132111357642739,0.9212035052992755
90,650,250,0.4,128,4,4,0.23429203033447266,0.9013700485229492,0.37210404872894287,0.8439425230026245,0.9220248480352766,0.874225069965829,0.8927085802535487
91,300,250,0.4,32,8,6,0.19578038156032562,0.9233850836753845,0.2900724411010742,0.879186749458313,0.9240395394517225,0.9208072662761322,0.9223526833143639
92,300,250,0.2,64,4,4,0.20631229877471924,0.9164843559265137,0.31703275442123413,0.8675059676170349,0.9168300831217722,0.9132739620341906,0.9150199830547612
93,150,1000,0.4,64,6,6,0.18542973697185516,0.9257750511169434,0.28038227558135986,0.8966236710548401,0.926052169064024,0.9219324153167756,0.9239580146999763
94,50,1750,0.2,64,8,4,0.18161070346832275,0.9265493154525757,0.269154816865921,0.8890833854675293,0.9260120990596391,0.9240219747939865,0.9249765196016472
95,300,1750,0.4,128,8,4,0.1824040561914444,0.926582932472229,0.25855880975723267,0.9019086360931396,0.9224656431063402,0.9316211220891848,0.9264909568980557
96,300,250,0.2,32,8,4,0.19684839248657227,0.922341525554657,0.29533934593200684,0.8743057250976562,0.9197213447085432,0.9268723342839812,0.9226534077210421
97,50,250,0.4,64,6,6,0.20270074903964996,0.9187396764755249,0.31361451745033264,0.8825192451477051,0.9223411909020562,0.9113899065426644,0.9167216327380089
98,50,2500,0.2,128,8,6,0.18416084349155426,0.9251018166542053,0.23082730174064636,0.9118726253509521,0.9241020454829578,0.9229067248431448,0.9234657328736171
99,50,1000,0.4,64,4,4,0.1982351690530777,0.9208940863609314,0.2540823817253113,0.8989464044570923,0.9240469752846371,0.9135679571762824,0.9186692737873926
